--------------------- VAGUES D ITERATIONS 1 MAP CARRE ---------------------
 ENVIRON 200 ?

Tibi : 200 nb closed nodes = 109
Tim : 102 nb closed nodes = 110
Elsa : 108 nb closed nodes = 110
Robin : 111 nb closed nodes = 110
Tibi : 200 nb closed nodes = 109
Robin : 500 nb closed nodes = 109
Tibi : 500 nb closed nodes = 109
Elsa : 500 nb closed nodes = 109
Tim : 500 nb closed nodes = 109
Tibi : 301 nb closed nodes = 120
Tim : 302 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tim : 302 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Robin : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tibi : 302 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Elsa : 302 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Tim : 301 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Robin : 302 nb closed nodes = 120
Tim : 302 nb closed nodes = 120
Tibi : 300 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tibi : 303 nb closed nodes = 120
Robin : 300 nb closed nodes = 120
Elsa : 301 nb closed nodes = 120
Tim : 300 nb closed nodes = 120
Tibi : 301 nb closed nodes = 120
Elsa : 300 nb closed nodes = 120
